Date,Year,Round,Region,Game #,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/23/1990,1990,3,NW,50,6,Minnesota,82,2,Syracuse,75
3/23/1990,1990,3,SW,51,1,UNLV,69,12,Ball St.,67
3/23/1990,1990,3,SW,52,11,Loyola Marymount,62,7,Alabama,60
3/22/1990,1990,3,NE,53,1,Connecticut,71,5,Clemson,70
3/22/1990,1990,3,NE,54,3,Duke,90,7,UCLA,81
3/22/1990,1990,3,SE,55,4,Arkansas,96,8,North Carolina,73
3/22/1990,1990,3,SE,56,10,Texas,102,6,Xavier,89
3/25/1990,1990,4,NW,57,4,Georgia Tech,93,6,Minnesota,91
3/25/1990,1990,4,SW,58,1,UNLV,131,11,Loyola Marymount,101
3/24/1990,1990,4,NE,59,3,Duke,79,1,Connecticut,78
3/24/1990,1990,4,SE,60,4,Arkansas,88,10,Texas,85
3/31/1990,1990,5,F4,61,1,UNLV,90,4,Georgia Tech,81
