ID,Date,Year,season,Round,Region,F.Rate,F.Rank,F.Seed,F.Team,F.Score,U.Rate,U.Rank,U.Seed,U.Team,U.Score,Overtime,MV,SeD,Upset
160,19-Mar-04,2004,2003-04,1,West,18.64,23,6,Vanderbilt,71,16.29,31,11,Western Michigan,58,,13,5,
161,19-Mar-04,2004,2003-04,1,Midwest,13.63,46,9,UAB,102,10.78,60,8,Washington,100,,2,-1,
162,20-Mar-04,2004,2003-04,2,Midwest,25.34,7,2,Gonzaga,72,20.27,20,10,Nevada,91,,19,-8,10 over 2
163,20-Mar-04,2004,2003-04,2,West,22.52,12,1,Stanford,67,16.5,29,8,Alabama,70,,3,-7,8 over 1
164,20-Mar-04,2004,2003-04,2,East,27.66,3,1,Saint Joseph's,70,17.11,28,8,Texas Tech,65,,5,7,
165,20-Mar-04,2004,2003-04,2,East,21.69,15,4,Wake Forest,84,13.38,48,12,Manhattan,80,,4,8,
166,20-Mar-04,2004,2003-04,2,South,32.33,1,1,Duke,90,17.35,27,8,Seton Hall,62,,28,7,
167,20-Mar-04,2004,2003-04,2,South,23.23,11,6,North Carolina,75,21.54,17,3,Texas,78,,3,3,
168,20-Mar-04,2004,2003-04,2,West,28.3,2,2,Connecticut,72,11.36,58,7,DePaul,55,,17,5,
169,20-Mar-04,2004,2003-04,2,West,19.81,22,4,Maryland,70,16.34,30,5,Syracuse,72,,2,-1,
170,21-Mar-04,2004,2003-04,2,Midwest,23.35,10,1,Kentucky,75,13.63,46,9,UAB,76,,1,-8,9 over 1
171,21-Mar-04,2004,2003-04,2,South,21.74,14,2,Mississippi St.,74,20.16,21,7,Xavier,89,,15,-5,7 over 2
172,21-Mar-04,2004,2003-04,2,East,27.37,4,2,Oklahoma St.,70,16.17,33,7,Memphis,53,,17,5,
173,21-Mar-04,2004,2003-04,2,East,25.91,5,3,Pittsburgh,59,25.74,6,6,Wisconsin,55,,4,3,
174,21-Mar-04,2004,2003-04,2,Midwest,24.69,8,3,Georgia Tech,57,15.42,37,6,Boston College,54,,3,3,
175,21-Mar-04,2004,2003-04,2,Midwest,20.89,18,4,Kansas,78,8.93,82,12,Pacific,63,,15,8,
176,21-Mar-04,2004,2003-04,2,West,23.98,9,3,North Carolina St.,73,18.64,23,6,Vanderbilt,75,,2,-3,6 over 3
177,21-Mar-04,2004,2003-04,2,South,22.11,13,5,Illinois,92,21.56,16,4,Cincinnati,68,,24,-1,
178,25-Mar-04,2004,2003-04,3,East,27.66,3,1,Saint Joseph's,84,21.69,15,4,Wake Forest,80,,4,3,
179,25-Mar-04,2004,2003-04,3,East,27.37,4,2,Oklahoma St.,63,25.91,5,3,Pittsburgh,51,,12,1,
180,25-Mar-04,2004,2003-04,3,West,28.3,2,2,Connecticut,73,18.64,23,6,Vanderbilt,53,,20,4,
181,25-Mar-04,2004,2003-04,3,West,16.5,29,8,Alabama,80,16.34,30,5,Syracuse,71,,9,-3,8 over 5
182,26-Mar-04,2004,2003-04,3,South,21.54,17,3,Texas,71,20.16,21,7,Xavier,79,,8,-4,7 over 3
183,26-Mar-04,2004,2003-04,3,Midwest,24.69,8,3,Georgia Tech,72,20.27,20,10,Nevada,67,,5,7,
184,26-Mar-04,2004,2003-04,3,Midwest,20.89,18,4,Kansas,100,13.63,46,9,UAB,74,,26,5,
185,26-Mar-04,2004,2003-04,3,South,32.33,1,1,Duke,72,22.11,13,5,Illinois,62,,10,4,
186,27-Mar-04,2004,2003-04,4,West,28.3,2,2,Connecticut,87,16.5,29,8,Alabama,71,,16,6,
187,27-Mar-04,2004,2003-04,4,East,27.66,3,1,Saint Joseph's,62,27.37,4,2,Oklahoma St.,64,,2,-1,
188,28-Mar-04,2004,2003-04,4,Midwest,24.69,8,3,Georgia Tech,79,20.89,18,4,Kansas,71,1 OT,8,1,
189,28-Mar-04,2004,2003-04,4,South,32.33,1,1,Duke,66,20.16,21,7,Xavier,63,,3,6,
190,3-Apr-04,2004,2003-04,5,Final Four,32.33,1,1,Duke,78,28.3,2,2,Connecticut,79,,1,-1,
191,3-Apr-04,2004,2003-04,5,Final Four,27.37,4,2,Oklahoma St.,65,24.69,8,3,Georgia Tech,67,,2,-1,
192,5-Apr-04,2004,2003-04,6,Championship,28.3,2,2,Connecticut,82,24.69,8,3,Georgia Tech,73,,9,1,
193,15-Mar-05,2005,2004-05,PI,East,-1.2,178,16,Oakland,79,-12.49,278,16,Alabama A&M,69,,10,0,
194,17-Mar-05,2005,2004-05,1,Midwest,20.51,18,5,Alabama,73,14.69,36,12,Milwaukee,83,,10,-7,12 over 5
195,17-Mar-05,2005,2004-05,1,Midwest,13.8,42,6,LSU,68,12.51,51,11,UAB,82,,14,-5,11 over 6
196,17-Mar-05,2005,2004-05,1,Midwest,32.68,2,1,Illinois,67,-2.52,190,16,Fairleigh Dickinson,55,,12,15,
197,17-Mar-05,2005,2004-05,1,Midwest,22.22,13,3,Arizona,66,19.62,21,14,Utah St.,53,,13,11,
198,17-Mar-05,2005,2004-05,1,Midwest,18.3,25,4,Boston College,85,9.6,77,13,Penn,65,,20,9,
199,17-Mar-05,2005,2004-05,1,South,24.1,9,2,Kentucky,72,1.98,143,15,Eastern Kentucky,64,,8,13,
200,17-Mar-05,2005,2004-05,1,South,22.55,12,3,Oklahoma,84,5.43,106,14,Niagara,67,,17,11,
201,17-Mar-05,2005,2004-05,1,South,20.33,20,6,Utah,60,11.62,58,11,UTEP,54,,6,5,
