"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"220","18-Mar-88",1988,"1","West",5,"Iowa","B10",102,NA,12,"Florida St.","ACC",98,NA,""
"221","18-Mar-88",1988,"1","West",8,"Seton Hall","BE",80,NA,9,"UTEP","WAC",64,NA,""
"222","19-Mar-88",1988,"2","East",2,"Duke","ACC",94,NA,7,"SMU","WAC",79,NA,""
"223","19-Mar-88",1988,"2","Midwest",1,"Purdue","B10",100,NA,9,"Memphis","CUSA",73,NA,""
"224","19-Mar-88",1988,"2","Midwest",4,"Kansas St.","B12",66,NA,5,"DePaul","CUSA",58,NA,""
"225","19-Mar-88",1988,"2","Southeast",1,"Oklahoma","B12",107,NA,8,"Auburn","SEC",87,NA,""
"226","19-Mar-88",1988,"2","West",2,"North Carolina","ACC",123,NA,10,"Loyola Marymount","WCC",97,NA,""
"227","19-Mar-88",1988,"2","West",3,"Michigan","B10",108,NA,6,"Florida","SEC",85,NA,""
"228","19-Mar-88",1988,"2","East",11,"Rhode Island","A10",97,NA,3,"Syracuse","BE",94,NA,""
"229","19-Mar-88",1988,"2","Southeast",5,"Louisville","CUSA",97,NA,4,"BYU","MWC",76,NA,""
"230","20-Mar-88",1988,"2","East",1,"Temple","A10",74,NA,8,"Georgetown","BE",53,NA,""
"231","20-Mar-88",1988,"2","Midwest",6,"Kansas","B12",61,NA,14,"Murray St.","OVC",58,NA,""
"232","20-Mar-88",1988,"2","Southeast",2,"Kentucky","SEC",90,NA,7,"Maryland","ACC",81,NA,""
"233","20-Mar-88",1988,"2","West",1,"Arizona","P10",84,NA,8,"Seton Hall","BE",55,NA,""
"234","20-Mar-88",1988,"2","East",13,"Richmond","A10",59,NA,5,"Georgia Tech","ACC",55,NA,""
"235","20-Mar-88",1988,"2","Midwest",7,"Vanderbilt","SEC",80,NA,2,"Pittsburgh","BE",74,NA,"1 OT"
