"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","Rank.x","AdjEM.x","Rank.y","AdjEM.y"
2006,"2",7,"Georgetown",70,2,"Ohio St.",52,13,21.29,14,20.68
2006,"2",1,"Connecticut",87,8,"Kentucky",83,4,25.44,24,17.13
2006,"2",1,"Villanova",82,8,"Arizona",78,5,24.59,23,17.23
2006,"2",2,"Texas",75,10,"North Carolina St.",54,3,25.79,30,15.92
2006,"2",6,"West Virginia",67,14,"Northwestern St.",54,16,19.49,93,7.51
2006,"2",1,"Memphis",72,9,"Bucknell",56,6,23.54,58,12.56
2006,"3",4,"LSU",62,1,"Duke",54,11,22,2,27.54
2006,"3",2,"Texas",74,6,"West Virginia",71,3,25.79,16,19.49
2006,"3",1,"Memphis",80,13,"Bradley",64,6,23.54,25,16.5
2006,"3",2,"UCLA",73,3,"Gonzaga",71,7,23.4,33,15.64
2006,"3",11,"George Mason",63,7,"Wichita St.",55,22,18.16,26,16.06
2006,"3",1,"Connecticut",98,5,"Washington",92,4,25.44,15,20.09
2006,"3",1,"Villanova",60,4,"Boston College",59,5,24.59,18,18.65
2006,"3",3,"Florida",57,7,"Georgetown",53,1,28.28,13,21.29
2006,"4",4,"LSU",70,2,"Texas",60,11,22,3,25.79
2006,"4",2,"UCLA",50,1,"Memphis",45,7,23.4,6,23.54
2006,"4",11,"George Mason",86,1,"Connecticut",84,22,18.16,4,25.44
2006,"4",3,"Florida",75,1,"Villanova",62,1,28.28,5,24.59
2006,"5",2,"UCLA",59,4,"LSU",45,7,23.4,11,22
2006,"5",3,"Florida",73,11,"George Mason",58,1,28.28,22,18.16
2006,"6",3,"Florida",73,2,"UCLA",57,1,28.28,7,23.4
2007,"PI",16,"Niagara",77,16,"Florida A&M",69,186,-2.76,254,-9.57
2007,"1",11,"VCU",79,6,"Duke",77,52,14.55,10,23.3
2007,"1",1,"North Carolina",86,16,"Eastern Kentucky",65,1,31.37,182,-2.58
2007,"1",2,"Georgetown",80,15,"Belmont",55,4,28.48,121,4.38
2007,"1",3,"Washington St.",70,14,"Oral Roberts",54,27,18.87,88,8.36
2007,"1",6,"Vanderbilt",77,11,"George Washington",44,43,16.23,95,7.28
2007,"1",7,"Boston College",84,10,"Texas Tech",75,44,16.18,71,10.98
2007,"1",4,"Maryland",82,13,"Davidson",70,12,22.42,61,13.32
2007,"1",5,"Butler",57,12,"Old Dominion",46,15,21.45,64,12.7
2007,"1",1,"Ohio St.",78,16,"Central Connecticut",57,3,29.33,177,-2.24
2007,"1",3,"Texas A&M",68,14,"Penn",52,7,26.97,92,7.69
2007,"1",6,"Louisville",78,11,"Stanford",58,19,20.35,66,12.37
2007,"1",2,"UCLA",70,15,"Weber St.",42,6,27.15,184,-2.71
2007,"1",3,"Pittsburgh",79,14,"Wright St.",58,11,22.9,100,6.66
2007,"1",7,"Indiana",70,10,"Gonzaga",57,14,21.58,49,15.31
2007,"1",9,"Michigan St.",61,8,"Marquette",49,17,20.97,38,17.18
2007,"1",9,"Xavier",79,8,"BYU",77,32,18.13,46,16.11
2007,"1",11,"Winthrop",74,6,"Notre Dame",64,51,14.81,22,20.02
2007,"1",4,"Texas",79,13,"New Mexico St.",67,25,19.24,96,7.27
2007,"1",5,"USC",77,12,"Arkansas",60,39,16.86,42,16.62
