Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner
2007,3,3,Texas A&M,64,2,Memphis,65,Memphis
2007,3,1,Kansas,61,4,Southern Illinois,58,Kansas
2007,3,2,UCLA,64,3,Pittsburgh,55,UCLA
2007,3,1,North Carolina,74,5,USC,64,North Carolina
2007,3,2,Georgetown,66,6,Vanderbilt,65,Georgetown
2007,3,1,Florida,65,5,Butler,57,Florida
2007,3,3,Oregon,76,7,UNLV,72,Oregon
2007,4,1,Ohio St.,92,2,Memphis,76,Ohio St.
2007,4,1,Kansas,55,2,UCLA,68,UCLA
2007,4,1,Florida,85,3,Oregon,77,Florida
2007,4,1,North Carolina,84,2,Georgetown,96,Georgetown
2007,5,1,Florida,76,2,UCLA,66,Florida
2007,5,1,Ohio St.,67,2,Georgetown,60,Ohio St.
2007,6,1,Florida,84,1,Ohio St.,75,Florida
2008,PI,16,Mount St. Mary's,69,16,Coppin St.,60,Mount St. Mary's
2008,1,11,Kansas St.,80,6,USC,67,Kansas St.
2008,1,4,Washington St.,71,13,Winthrop,40,Washington St.
2008,1,5,Notre Dame,68,12,George Mason,50,Notre Dame
2008,1,1,Kansas,85,16,Portland St.,61,Kansas
2008,1,3,Wisconsin,71,14,Cal St. Fullerton,56,Wisconsin
2008,1,8,UNLV,71,9,Kent St.,58,UNLV
2008,1,3,Stanford,77,14,Cornell,53,Stanford
2008,1,4,Pittsburgh,82,13,Oral Roberts,63,Pittsburgh
2008,1,5,Michigan St.,72,12,Temple,61,Michigan St.
2008,1,6,Marquette,74,11,Kentucky,66,Marquette
2008,1,1,UCLA,70,16,Mississippi Valley St.,29,UCLA
2008,1,2,Duke,71,15,Belmont,70,Duke
2008,1,3,Xavier,73,14,Georgia,61,Xavier
2008,1,6,Purdue,90,11,Baylor,79,Purdue
2008,1,7,West Virginia,75,10,Arizona,65,West Virginia
2008,1,9,Texas A&M,67,8,BYU,62,Texas A&M
2008,1,4,Vanderbilt,62,13,Siena,83,Siena
2008,1,4,Connecticut,69,13,San Diego,70,San Diego
2008,1,5,Clemson,69,12,Villanova,75,Villanova
2008,1,5,Drake,99,12,Western Kentucky,101,Western Kentucky
2008,1,10,Davidson,82,7,Gonzaga,76,Davidson
